timestamp,latency_ms,jitter_ms,packet_loss_percent
2025-08-13 00:00:00,12.5,1.2,0.0
2025-08-13 01:00:00,13.2,1.5,0.0
2025-08-13 02:00:00,11.8,0.9,0.0
2025-08-13 03:00:00,14.3,1.8,0.1
2025-08-13 04:00:00,15.1,2.1,0.0
2025-08-13 05:00:00,13.7,1.4,0.0
2025-08-13 06:00:00,16.2,2.5,0.2
2025-08-13 07:00:00,18.4,3.1,0.1
2025-08-13 08:00:00,22.1,4.2,0.3
2025-08-13 09:00:00,19.5,3.5,0.1
2025-08-13 10:00:00,17.8,2.8,0.0
2025-08-13 11:00:00,21.3,3.9,0.2
2025-08-13 12:00:00,23.6,4.5,0.4
2025-08-13 13:00:00,25.1,5.1,0.5
2025-08-13 14:00:00,24.3,4.8,0.3
2025-08-13 15:00:00,22.7,4.2,0.2
2025-08-13 16:00:00,20.9,3.7,0.1
2025-08-13 17:00:00,19.4,3.2,0.1
2025-08-13 18:00:00,18.1,2.9,0.0
2025-08-13 19:00:00,16.8,2.4,0.0
2025-08-13 20:00:00,15.3,2.0,0.0
2025-08-13 21:00:00,14.6,1.7,0.0
2025-08-13 22:00:00,13.9,1.5,0.0
2025-08-13 23:00:00,13.2,1.3,0.0
2025-08-14 00:00:00,12.8,1.1,0.0
2025-08-14 01:00:00,13.5,1.4,0.0
2025-08-14 02:00:00,12.1,1.0,0.0
2025-08-14 03:00:00,14.8,1.9,0.1
2025-08-14 04:00:00,15.6,2.3,0.0
2025-08-14 05:00:00,14.2,1.6,0.0
2025-08-14 06:00:00,17.1,2.7,0.2
2025-08-14 07:00:00,19.2,3.3,0.1
2025-08-14 08:00:00,23.4,4.6,0.4
2025-08-14 09:00:00,20.3,3.8,0.2
2025-08-14 10:00:00,18.5,3.0,0.1
2025-08-14 11:00:00,22.1,4.1,0.3
2025-08-14 12:00:00,24.8,4.9,0.5
2025-08-14 13:00:00,26.3,5.5,0.6
2025-08-14 14:00:00,25.1,5.0,0.4
2025-08-14 15:00:00,23.5,4.4,0.3
2025-08-14 16:00:00,21.6,3.9,0.2
2025-08-14 17:00:00,20.1,3.4,0.1
2025-08-14 18:00:00,18.8,3.0,0.1
2025-08-14 19:00:00,17.3,2.6,0.0
2025-08-14 20:00:00,15.9,2.2,0.0
2025-08-14 21:00:00,15.1,1.9,0.0
2025-08-14 22:00:00,14.4,1.6,0.0
2025-08-14 23:00:00,13.6,1.4,0.0
2025-08-15 00:00:00,13.1,1.2,0.0
2025-08-15 01:00:00,13.8,1.5,0.0
2025-08-15 02:00:00,12.4,1.0,0.0
2025-08-15 03:00:00,15.2,2.0,0.1
2025-08-15 04:00:00,16.1,2.4,0.1
2025-08-15 05:00:00,14.7,1.7,0.0
2025-08-15 06:00:00,17.8,2.9,0.2
2025-08-15 07:00:00,20.1,3.5,0.2
2025-08-15 08:00:00,24.2,4.8,0.4
2025-08-15 09:00:00,21.1,4.0,0.2
2025-08-15 10:00:00,19.2,3.2,0.1
2025-08-15 11:00:00,22.9,4.3,0.3
2025-08-15 12:00:00,25.5,5.2,0.5
2025-08-15 13:00:00,27.1,5.8,0.7
2025-08-15 14:00:00,25.9,5.3,0.5
2025-08-15 15:00:00,24.2,4.6,0.3
2025-08-15 16:00:00,22.3,4.1,0.2
2025-08-15 17:00:00,20.8,3.6,0.2
2025-08-15 18:00:00,19.5,3.2,0.1
2025-08-15 19:00:00,18.0,2.8,0.1
2025-08-15 20:00:00,16.5,2.3,0.0
2025-08-15 21:00:00,15.7,2.0,0.0
2025-08-15 22:00:00,14.9,1.7,0.0
2025-08-15 23:00:00,14.1,1.5,0.0
2025-08-16 00:00:00,13.4,1.3,0.0
2025-08-16 01:00:00,14.1,1.6,0.0
2025-08-16 02:00:00,12.7,1.1,0.0
2025-08-16 03:00:00,15.6,2.1,0.1
2025-08-16 04:00:00,16.6,2.5,0.1
2025-08-16 05:00:00,15.1,1.8,0.0
2025-08-16 06:00:00,18.4,3.0,0.2
2025-08-16 07:00:00,20.8,3.7,0.2
2025-08-16 08:00:00,25.0,5.0,0.5
2025-08-16 09:00:00,21.8,4.2,0.3
2025-08-16 10:00:00,19.9,3.4,0.1
2025-08-16 11:00:00,23.6,4.5,0.4
2025-08-16 12:00:00,26.2,5.4,0.6
2025-08-16 13:00:00,27.9,6.1,0.8
2025-08-16 14:00:00,26.6,5.6,0.6
2025-08-16 15:00:00,24.9,4.8,0.4
2025-08-16 16:00:00,23.0,4.3,0.3
2025-08-16 17:00:00,21.5,3.8,0.2
2025-08-16 18:00:00,20.1,3.3,0.1
2025-08-16 19:00:00,18.6,2.9,0.1
2025-08-16 20:00:00,17.1,2.4,0.0
2025-08-16 21:00:00,16.2,2.1,0.0
2025-08-16 22:00:00,15.4,1.8,0.0
2025-08-16 23:00:00,14.6,1.6,0.0
2025-08-17 00:00:00,13.9,1.4,0.0
2025-08-17 01:00:00,14.6,1.7,0.0
2025-08-17 02:00:00,13.1,1.2,0.0
2025-08-17 03:00:00,16.1,2.2,0.1
2025-08-17 04:00:00,17.2,2.6,0.1
2025-08-17 05:00:00,15.6,1.9,0.0
2025-08-17 06:00:00,19.1,3.2,0.2
2025-08-17 07:00:00,21.5,3.9,0.3
2025-08-17 08:00:00,25.8,5.3,0.5
2025-08-17 09:00:00,22.5,4.4,0.3
2025-08-17 10:00:00,20.6,3.6,0.2
2025-08-17 11:00:00,24.3,4.7,0.4
2025-08-17 12:00:00,27.0,5.6,0.6
2025-08-17 13:00:00,28.6,6.4,0.8
2025-08-17 14:00:00,27.3,5.9,0.7
2025-08-17 15:00:00,25.6,5.0,0.4
2025-08-17 16:00:00,23.7,4.5,0.3
2025-08-17 17:00:00,22.2,4.0,0.2
2025-08-17 18:00:00,20.8,3.5,0.2
2025-08-17 19:00:00,19.3,3.1,0.1
2025-08-17 20:00:00,17.7,2.6,0.1
2025-08-17 21:00:00,16.8,2.2,0.0
2025-08-17 22:00:00,15.9,1.9,0.0
2025-08-17 23:00:00,15.1,1.7,0.0
2025-08-18 00:00:00,14.3,1.5,0.0
2025-08-18 01:00:00,15.1,1.8,0.0
2025-08-18 02:00:00,13.5,1.3,0.0
2025-08-18 03:00:00,16.6,2.3,0.1
2025-08-18 04:00:00,17.8,2.7,0.2
2025-08-18 05:00:00,16.1,2.0,0.0
2025-08-18 06:00:00,19.8,3.4,0.2
2025-08-18 07:00:00,22.3,4.1,0.3
2025-08-18 08:00:00,26.6,5.5,0.6
2025-08-18 09:00:00,23.2,4.6,0.4
2025-08-18 10:00:00,21.3,3.8,0.2
2025-08-18 11:00:00,25.1,4.9,0.5
2025-08-18 12:00:00,27.8,5.9,0.7
2025-08-18 13:00:00,29.4,6.7,0.9
2025-08-18 14:00:00,28.0,6.2,0.7
2025-08-18 15:00:00,26.3,5.2,0.5
2025-08-18 16:00:00,24.4,4.7,0.4
2025-08-18 17:00:00,22.9,4.2,0.3
2025-08-18 18:00:00,21.4,3.7,0.2
2025-08-18 19:00:00,19.9,3.3,0.1
2025-08-18 20:00:00,18.3,2.8,0.1
2025-08-18 21:00:00,17.3,2.4,0.0
2025-08-18 22:00:00,16.4,2.0,0.0
2025-08-18 23:00:00,15.6,1.8,0.0
2025-08-19 00:00:00,14.8,1.6,0.0
2025-08-19 01:00:00,15.6,1.9,0.0
2025-08-19 02:00:00,14.0,1.4,0.0
2025-08-19 03:00:00,17.2,2.4,0.1
2025-08-19 04:00:00,18.4,2.9,0.2
2025-08-19 05:00:00,16.7,2.1,0.1
2025-08-19 06:00:00,20.5,3.6,0.3
2025-08-19 07:00:00,23.1,4.3,0.3
2025-08-19 08:00:00,27.4,5.8,0.6
2025-08-19 09:00:00,24.0,4.8,0.4
2025-08-19 10:00:00,22.0,4.0,0.3
2025-08-19 11:00:00,25.8,5.2,0.5
2025-08-19 12:00:00,28.6,6.2,0.7
2025-08-19 13:00:00,30.2,7.0,1.0
2025-08-19 14:00:00,28.7,6.5,0.8
2025-08-19 15:00:00,27.0,5.5,0.6
2025-08-19 16:00:00,25.1,4.9,0.4
2025-08-19 17:00:00,23.6,4.4,0.3
2025-08-19 18:00:00,22.1,3.9,0.2
2025-08-19 19:00:00,20.6,3.5,0.2
2025-08-19 20:00:00,19.0,3.0,0.1
2025-08-19 21:00:00,17.9,2.5,0.1
2025-08-19 22:00:00,16.9,2.1,0.0
2025-08-19 23:00:00,16.1,1.9,0.0
2025-08-20 00:00:00,15.3,1.7,0.0
2025-08-20 01:00:00,16.1,2.0,0.0
2025-08-20 02:00:00,14.5,1.5,0.0
2025-08-20 03:00:00,17.8,2.5,0.1
2025-08-20 04:00:00,19.1,3.0,0.2
2025-08-20 05:00:00,17.3,2.2,0.1
2025-08-20 06:00:00,21.2,3.8,0.3
2025-08-20 07:00:00,23.9,4.5,0.4
2025-08-20 08:00:00,28.2,6.1,0.7
2025-08-20 09:00:00,24.7,5.0,0.5
2025-08-20 10:00:00,22.7,4.2,0.3
2025-08-20 11:00:00,26.6,5.4,0.6
2025-08-20 12:00:00,29.4,6.5,0.8
2025-08-20 13:00:00,31.0,7.3,1.1
2025-08-20 14:00:00,29.5,6.8,0.9
